"name","shortcut","domain"
"Sociedad Anónima","S.A.","partner"
"Sociedad de Responsabilidad Limitada","Ltda.","partner"
"Sociedad Anónima Laboral","S.A.L.","partner"
"Asociación Sin Fines de Lucro","Asoc.","partner"
"Institución Gubernamental","Gov.","partner"
"Institución Educativa","Edu.","partner"
"Profesional Independiente","Prof. Ind.","partner"
"Señor","Sr.","contact"
"Señora","Sra.","contact"
"Señorita","Srta.","contact"
"Doctor","Dr.","contact"
"Doctora","Dra.","contact"
"Máster en Ciencias","Msc.","contact"
"Máster en Negocios","MBA","contact"
"Licenciado","Lic.","contact"
"Licenciada","Licda.","contact"
